10000,Boston Celtics
10001,Brooklyn Nets
10002,New York Knicks
10003,Philadelphia 76ers
10004,Toronto Raptors
10005,Chicago Bulls
10006,Cleveland Cavaliers
10007,Detroit Pistons
10008,Indiana Pacers
10009,Milwaukee Bucks
10010,Atlanta Hawks
10011,Charlotte Hornets
10012,Miami Heat
10013,Orlando Magic
10014,Washington Wizards
10015,Denver Nuggets
10016,Minnesota Timberwolves
10017,Oklahoma City Thunder
10018,Portland Trail Blazers
10019,Utah Jazz
10020,Golden State Warriors
10021,Los Angeles Clippers
10022,Los Angeles Lakers
10023,Phoenix Suns
10024,Sacramento Kings
10025,Dallas Mavericks
10026,Houston Rockets
10027,Memphis Grizzlies
10028,New Orleans Pelicans
10029,San Antonio Spurs
